TrialLessonID;TimeTableID;PersonID;TrialLessonTypeID;DateTrialLesson;DateRequestedTrialLesson;isDeleted;isMoved
1;5;1064;1;26-02-15 08:18;26-02-15 08:18;NULL;NULL
2;5;1065;1;26-02-15 09:07;26-02-15 09:07;NULL;NULL
3;1;1066;1;04-03-15 22:43;28-02-15 22:43;NULL;NULL
4;2;1067;1;13-03-15 15:03;01-03-15 15:03;NULL;NULL
5;2;33;5;13-03-15 15:04;01-03-15 15:04;NULL;NULL
6;3;1068;1;02-03-15 18:14;02-03-15 18:14;NULL;NULL
7;3;29;5;02-03-15 18:16;02-03-15 18:16;NULL;NULL
8;2;1069;1;13-03-15 18:10;03-03-15 18:10;NULL;NULL
9;2;1070;1;13-03-15 22:55;03-03-15 22:55;NULL;NULL
10;1;30;5;11-03-15 12:59;04-03-15 12:59;NULL;NULL
11;1;31;5;11-03-15 13:14;04-03-15 13:14;NULL;NULL
12;2;1072;1;13-03-15 20:48;04-03-15 20:48;NULL;NULL
13;2;1073;1;06-03-15 09:03;05-03-15 09:03;NULL;NULL
14;1;1074;1;11-03-15 14:12;05-03-15 14:12;NULL;NULL
15;3;1075;1;09-03-15 21:18;05-03-15 21:18;NULL;NULL
16;3;1076;1;09-03-15 23:00;05-03-15 23:00;NULL;NULL
17;3;1077;1;09-03-15 21:30;07-03-15 21:30;NULL;NULL
18;1;32;5;11-03-15 20:56;08-03-15 20:56;NULL;NULL
19;1;1078;1;18-03-15 01:05;10-03-15 01:07;NULL;NULL
20;1;1079;1;11-03-15 14:20;11-03-15 14:21;NULL;NULL
21;1;34;5;11-03-15 15:13;11-03-15 15:14;NULL;NULL
22;2;1080;1;13-03-15 16:01;11-03-15 16:02;NULL;NULL
23;1;1081;1;18-03-15 07:06;13-03-15 07:13;NULL;NULL
24;1;1082;1;18-03-15 02:34;14-03-15 02:36;NULL;NULL
25;5;1083;1;19-03-15 15:01;14-03-15 15:04;NULL;NULL
26;3;1084;1;16-03-15 08:14;15-03-15 08:15;NULL;NULL
27;3;37;5;16-03-15 12:07;15-03-15 12:08;NULL;NULL
28;3;35;5;16-03-15 12:24;15-03-15 12:27;NULL;NULL
29;5;1085;1;19-03-15 15:56;15-03-15 15:57;NULL;NULL
30;5;1086;1;19-03-15 15:59;15-03-15 16:00;NULL;NULL
31;1;1087;1;18-03-15 10:32;16-03-15 10:41;NULL;NULL
32;1;1088;1;18-03-15 10:34;16-03-15 10:56;NULL;NULL
